Invoice_ID;Contract_ID;Settled;Sum;Sum_inclVAT;Date
11;10;TRUE;96400;17352;14.05.06
12;10;TRUE;120000;21600;14.05.07
13;10;TRUE;72799,8;13103,964;14.05.08
14;11;TRUE;248200,2;44676,036;14.05.09
15;11;TRUE;496399,8;89351,964;14.05.10
16;12;TRUE;22000,2;3960,036;14.05.11
17;12;TRUE;43999,8;7919,964;14.05.12
18;13;TRUE;98299,8;17693,964;14.05.13
19;13;TRUE;196600,2;35388,036;14.05.14
20;14;TRUE;57000;10260;14.05.15
21;14;TRUE;57000;10260;14.05.16
22;14;TRUE;57000;10260;14.05.17
23;15;TRUE;192600;34668;14.05.18
24;15;TRUE;128400;23112;14.05.19
25;15;TRUE;128400;23112;14.05.20
26;15;FALSE;128400;23112;14.05.21
27;16;TRUE;384799,8;69263,964;14.05.22
28;16;FALSE;384799,8;69263,964;14.05.23
29;16;FALSE;384800,4;69264,072;14.05.24
30;17;TRUE;256200;46116;14.05.25
31;17;FALSE;128100;23058;14.05.26
32;17;FALSE;128100;23058;14.05.27
33;17;FALSE;128100;23058;14.05.28
34;17;FALSE;128100;23058;14.05.29
